rating,link
-0.3026094705443118,No Link
-0.3026094705443118,No Link
-0.3026094705443118,No Link
-0.3026094705443118,No Link
-0.3026094705443118,No Link
-0.3026094705443118,No Link
-0.3026094705443118,No Link
-0.3026094705443118,No Link
-0.3026094705443118,No Link
-0.3026094705443118,No Link
-0.3026094705443118,No Link
-0.3026094705443118,No Link
-0.3026094705443118,No Link
-0.3026094705443118,No Link
-0.3026094705443118,No Link
-0.3026094705443118,No Link
-0.3026094705443118,No Link
-0.3026094705443118,No Link
-0.3026094705443118,No Link
3.9377764613979416,https://www.paulaschoice.com/ingredient-dictionary/ingredient-olea-europaea-oil-unsaponifiables.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
-0.3026094705443118,No Link
-0.3026094705443118,No Link
-0.3026094705443118,No Link
3.0896992750094907,https://www.paulaschoice.com/ingredient-dictionary/ingredient-va-crotonates-copolymer.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
-0.3026094705443118,No Link
3.9377764613979416,https://www.paulaschoice.com/ingredient-dictionary/ingredient-corn-oil.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
-0.3026094705443118,No Link
-0.3026094705443118,No Link
-0.3026094705443118,No Link
-0.3026094705443118,No Link
3.0896992750094907,https://www.paulaschoice.com/ingredient-dictionary/ingredient-pvp.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
-0.3026094705443118,No Link
-0.3026094705443118,No Link
-0.3026094705443118,No Link
-0.3026094705443118,No Link
-0.3026094705443118,No Link
-0.3026094705443118,No Link
-0.3026094705443118,No Link
-0.3026094705443118,No Link
-0.3026094705443118,No Link
-0.3026094705443118,No Link
-0.3026094705443118,No Link
3.9377764613979416,https://www.paulaschoice.com/ingredient-dictionary/ingredient-cornflower.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
-0.3026094705443118,No Link
3.9377764613979416,https://www.paulaschoice.com/ingredient-dictionary/ingredient-bacillus-ferment.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
-0.3026094705443118,No Link
-0.3026094705443118,No Link
-0.3026094705443118,No Link
-0.3026094705443118,No Link
-0.3026094705443118,No Link
-0.3026094705443118,No Link
0.5454677158441388,https://www.paulaschoice.com/ingredient-dictionary/ingredient-sodium-cocoate.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=2000
-0.3026094705443118,No Link
-0.3026094705443118,No Link
-0.3026094705443118,No Link
0.5454677158441388,https://www.paulaschoice.com/ingredient-dictionary/ingredient-tangerine-oil.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=2000
-0.3026094705443118,No Link
-0.3026094705443118,No Link
-0.3026094705443118,No Link
-0.3026094705443118,No Link
-0.3026094705443118,No Link
-0.3026094705443118,No Link
-0.3026094705443118,No Link
-0.3026094705443118,No Link
-0.3026094705443118,No Link
-0.3026094705443118,No Link
-0.3026094705443118,No Link
-0.3026094705443118,No Link
-0.3026094705443118,No Link
-0.3026094705443118,No Link
